video_id,exp_id,target_obj_id,target_category,query,n_same_cat,n_other,co_visible_frames,co_visible_ratio,min_centroid_dist_norm,max_dilated_overlap,target_gap_frames,target_absent_frames,query_type,rank_score,in_top_k
dce363032d,1,1,ape,a baby ape is sitting near its mother in the right,1,1,36,1.0,0.3767,0.0314,0,0,multi_relation,2.5632,0
246e38963b,0,1,chameleon,a green chameleon in the background,2,3,12,1.0,0.3492,0.0,0,0,relation,2.5429,0
246e38963b,1,1,chameleon,a chameleon is coming down using plants,2,3,12,1.0,0.3492,0.0,0,0,motion,2.5429,0
0a598e18a8,2,2,monkey,a monkey to the right of another monkey,1,1,30,1.0,0.2812,0.0224,0,0,relation,2.542,0
0a598e18a8,3,2,monkey,a monkey is on the right side of another on the leaves sitting up and looking down at their hands,1,1,30,1.0,0.2812,0.0224,0,0,multi_relation,2.542,0
64c6f2ed76,6,4,person,a person wearing grey pants is in between two others skateboarding on the road up the hill,1,3,29,1.0,0.1205,0.0086,0,0,multi_relation,2.5413,0
64c6f2ed76,7,4,person,a person skating in between two other people,1,3,29,1.0,0.1205,0.0086,0,0,multi_relation,2.5413,0
cd896a9bee,0,1,monkey,a brown monkey is sitting on the cement ground while holding a baby monkey in their arms,1,1,30,1.0,0.3863,0.0311,0,0,multi_relation,2.5366,0
cd896a9bee,1,1,monkey,a monkey is holding a baby which is standing downwards,1,1,30,1.0,0.3863,0.0311,0,0,multi_relation,2.5366,0
43115c42b2,4,3,person,a person riding a bike behind another person,1,3,28,1.0,0.2706,0.0,2,2,motion,2.5336,0
43115c42b2,5,3,person,the arms of a person in black gloves riding a bike,1,3,28,1.0,0.2706,0.0,2,2,motion,2.5336,0
6a75316e99,0,1,bottle,the bottle is in front of the paper towels and to the left of the toilet,1,3,19,1.0,0.1515,0.0,1,1,multi_relation,2.525,0
6a75316e99,1,1,bottle,a red bottle on the sink near a tissue paper bundle,1,3,19,1.0,0.1515,0.0,1,1,multi_relation,2.525,0
0a598e18a8,0,1,monkey,a monkey to the left of another monkey,1,1,30,1.0,0.2812,0.0212,0,0,relation,2.5151,0
0a598e18a8,1,1,monkey,a small and white monkey is laying on its back in the leaves on the the ground,1,1,30,1.0,0.2812,0.0212,0,0,multi_relation,2.5151,0
64c6f2ed76,4,3,person,a person with red pants and a grey shirt is skateboarding in the road towards the yellow line,1,3,29,1.0,0.1205,0.0072,0,0,multi_appearance,2.5092,0
64c6f2ed76,5,3,person,a person wearing red and green,1,3,29,1.0,0.1205,0.0072,0,0,multi_appearance,2.5092,0
d69812339e,2,2,person,a man in black who hands the mic off to another person,1,2,20,1.0,0.14,0.0073,0,0,relation,2.4715,0
d69812339e,3,2,person,a person dressed in all black on the right walking toward a person on stage while holding a microphone,1,2,20,1.0,0.14,0.0073,0,0,multi_relation,2.4715,0
4ee0105885,0,1,earless_seal,a baby seal,2,2,30,1.0,0.31,0.0406,0,0,other,2.4619,0
4ee0105885,4,3,earless_seal,an adult seal to the right of another seal,2,2,30,1.0,0.3908,0.0,0,0,relation,2.4574,0
4ee0105885,5,3,earless_seal,an a aggressive on the right side fighting another seal,2,2,30,1.0,0.3908,0.0,0,0,multi_relation,2.4574,0
20a93b4c54,0,1,knife,a knife cover on the left hand side of a knife,1,2,20,1.0,0.2863,0.0186,0,0,multi_relation,2.4418,0
d69812339e,0,1,person,a person in white pants who takes the mic,1,2,20,1.0,0.14,0.0052,0,0,relation,2.4212,0
d69812339e,1,1,person,a person dressed in black and white in the center of stage holding a microphone,1,2,20,1.0,0.14,0.0052,0,0,multi_relation,2.4212,0
c9ef04fe59,0,1,person,a man wearing a black shirt standing the closest to a grey car,2,2,20,1.0,0.4334,0.0,0,0,multi_relation,2.3699,0
c9ef04fe59,1,1,person,a person is standing behind the car,2,2,20,1.0,0.4334,0.0,0,0,multi_relation,2.3699,0
c74fc37224,4,3,sheep,the white sheep is on the right side of the circle in the front and to the right of the white dog,2,2,14,1.0,0.4423,0.0,0,15,multi_relation,2.3516,0
c74fc37224,5,3,sheep,a sheep at the bottom right moves out of the circle,2,2,14,1.0,0.4423,0.0,0,15,multi_relation,2.3516,0
9f429af409,2,2,elephant,the black elephant is in front of another facing towards the right,1,1,7,1.0,0.3286,0.0175,0,12,multi_relation,2.3282,0
9f429af409,3,2,elephant,an elephant behind another elephant,1,1,7,1.0,0.3286,0.0175,0,12,relation,2.3282,0
61fca8cbf1,0,1,owl,an owl which is sitting on left eat something from its leg,1,1,30,1.0,0.2698,0.0119,0,0,multi_relation,2.3134,0
61fca8cbf1,1,1,owl,a small yellow and black owl is sitting in the tree to the left of another,1,1,30,1.0,0.2698,0.0119,0,0,multi_relation,2.3134,0
61fca8cbf1,2,2,owl,an owl sitting on the right scratches his body around with its beak,1,1,30,1.0,0.2698,0.0114,0,0,multi_relation,2.3021,0
61fca8cbf1,3,2,owl,a yellow and black owl is sitting next to another on the right side in a tree,1,1,30,1.0,0.2698,0.0114,0,0,multi_relation,2.3021,0
a2948d4116,0,1,person,the first man closest to the camera on the left hand side looks at a landing man in parachute,2,3,16,1.0,0.4779,0.0,0,14,multi_relation,2.2785,0
a2948d4116,1,1,person,a skydiver to the far left standing in the grass,2,3,16,1.0,0.4779,0.0,0,14,multi_relation,2.2785,0
0b0c90e21a,0,1,ape,a baby gorilla,1,1,36,1.0,0.0454,0.0383,0,0,other,2.2739,0
64c6f2ed76,0,1,skateboard,a skateboard is being rode by a person wearing red pants up the hill,1,3,29,1.0,0.1618,0.0,0,0,relation,2.2506,0
64c6f2ed76,1,1,skateboard,a skateboard being used by a skateboarder wearing a red pant,1,3,29,1.0,0.1618,0.0,0,0,relation,2.2506,0
64c6f2ed76,2,2,skateboard,a skateboard is being rode by a person wearing black pants between two others moving up the hill,1,3,29,1.0,0.1618,0.0,0,0,multi_relation,2.2506,0
64c6f2ed76,3,2,skateboard,a skateboard being used by a person wearing a purple pant,1,3,29,1.0,0.1618,0.0,0,0,relation,2.2506,0
a00c3fa88e,2,2,knife,the grey and white knife is behind another sitting on the grey leather,1,2,20,1.0,0.3548,0.0164,0,0,multi_relation,2.2477,0
a00c3fa88e,3,2,knife,a small grey switch blade on sitting to the left a blue switch blade,1,2,20,1.0,0.3548,0.0164,0,0,multi_relation,2.2477,0
a00c3fa88e,4,3,knife,the blue and grey knife is sitting on the grey leather with a hand picking it up and putting it down,1,2,20,1.0,0.3548,0.0162,0,0,multi_relation,2.242,0
a00c3fa88e,5,3,knife,a small knife with a blue handle,1,2,20,1.0,0.3548,0.0162,0,0,multi_appearance,2.242,0
541ccb0844,0,1,person,a person in brown blouse and blue jeans riding a horse,1,3,19,1.0,0.1707,0.0,0,0,multi_appearance,2.2322,0
541ccb0844,1,1,person,a person on the left side in the water is riding a brown horse,1,3,19,1.0,0.1707,0.0,0,0,multi_relation,2.2322,0
541ccb0844,4,3,person,a person in black singlet and blue jeans riding a horse,1,3,19,1.0,0.1707,0.0,0,0,multi_appearance,2.2322,0
541ccb0844,5,3,person,a person is riding a brown and white horse on the right side moving toward the rocks,1,3,19,1.0,0.1707,0.0,0,0,multi_motion,2.2322,0
696e01387c,0,1,turtle,a tortoise second from the front all the way to the left,1,1,36,1.0,0.3176,0.0123,0,0,multi_relation,2.2252,0
696e01387c,1,1,turtle,a turtle to the bottom left,1,1,36,1.0,0.3176,0.0123,0,0,multi_relation,2.2252,0
